MU: -1.997284e+00 -2.362259e+00 1.503819e+00 -8.928034e-01 -2.458396e-01 
algo,mean,variance,S,tail
gl,1.646413e-03,4.578354e-05,5,2.000000e-01
nv,7.838929e-03,4.603860e-03,5,2.000000e-01
gl,1.633525e-03,4.500154e-05,5,2.000000e-01
nv,7.747719e-03,4.524518e-03,5,2.000000e-01
gl,1.612852e-03,4.425485e-05,5,2.000000e-01
nv,8.115345e-03,4.583255e-03,5,2.000000e-01
gl,1.593832e-03,4.354023e-05,5,2.000000e-01
nv,7.977797e-03,4.506540e-03,5,2.000000e-01
gl,1.573739e-03,4.284163e-05,5,2.000000e-01
nv,7.845167e-03,4.432346e-03,5,2.000000e-01
gl,1.559943e-03,4.216025e-05,5,2.000000e-01
nv,7.717869e-03,4.360540e-03,5,2.000000e-01
gl,1.551845e-03,4.152359e-05,5,2.000000e-01
nv,7.593548e-03,4.291039e-03,5,2.000000e-01
gl,1.538809e-03,4.088816e-05,5,2.000000e-01
nv,7.475397e-03,4.223689e-03,5,2.000000e-01
gl,1.558159e-03,4.113352e-05,5,2.000000e-01
nv,7.370313e-03,4.158367e-03,5,2.000000e-01
gl,1.589956e-03,4.155070e-05,5,2.000000e-01
nv,7.515385e-03,4.134782e-03,5,2.000000e-01
gl,1.577734e-03,4.094924e-05,5,2.000000e-01
nv,7.401515e-03,4.072883e-03,5,2.000000e-01
gl,1.559940e-03,4.036123e-05,5,2.000000e-01
nv,7.291045e-03,4.012809e-03,5,2.000000e-01
gl,1.612327e-03,4.272802e-05,5,2.000000e-01
nv,7.183824e-03,3.954482e-03,5,2.000000e-01
gl,1.597050e-03,4.213012e-05,5,2.000000e-01
nv,7.091014e-03,3.897753e-03,5,2.000000e-01
gl,1.580570e-03,4.155215e-05,5,2.000000e-01
nv,7.029000e-03,3.843215e-03,5,2.000000e-01
gl,1.570379e-03,4.100583e-05,5,2.000000e-01
nv,6.930000e-03,3.789696e-03,5,2.000000e-01
gl,1.610711e-03,4.202746e-05,5,2.000000e-01
nv,6.835556e-03,3.737625e-03,5,2.000000e-01
gl,1.605165e-03,4.149124e-05,5,2.000000e-01
nv,6.742055e-03,3.686985e-03,5,2.000000e-01
gl,1.594239e-03,4.095209e-05,5,2.000000e-01
nv,6.651216e-03,3.637696e-03,5,2.000000e-01
gl,1.596794e-03,4.059726e-05,5,2.000000e-01
nv,6.562533e-03,3.589712e-03,5,2.000000e-01
gl,1.583112e-03,4.008355e-05,5,2.000000e-01
nv,6.619342e-03,3.556695e-03,5,2.000000e-01
gl,1.568409e-03,3.958485e-05,5,2.000000e-01
nv,6.534935e-03,3.510988e-03,5,2.000000e-01
gl,1.551005e-03,3.910068e-05,5,2.000000e-01
nv,7.451667e-03,4.234334e-03,5,2.000000e-01
gl,1.539891e-03,3.862265e-05,5,2.000000e-01
nv,7.674937e-03,4.256303e-03,5,2.000000e-01
gl,1.573328e-03,3.972217e-05,5,2.000000e-01
nv,7.722625e-03,4.217912e-03,5,2.000000e-01
gl,1.569395e-03,3.927865e-05,5,2.000000e-01
nv,7.627284e-03,4.166503e-03,5,2.000000e-01
gl,1.565283e-03,3.881274e-05,5,2.000000e-01
nv,7.919756e-03,4.197336e-03,5,2.000000e-01
gl,1.554422e-03,3.837589e-05,5,2.000000e-01
nv,7.824458e-03,4.147450e-03,5,2.000000e-01
gl,1.544217e-03,3.793877e-05,5,2.000000e-01
nv,7.779524e-03,4.099944e-03,5,2.000000e-01
gl,1.536219e-03,3.753042e-05,5,2.000000e-01
nv,7.689882e-03,4.052330e-03,5,2.000000e-01
gl,1.523319e-03,3.711125e-05,5,2.000000e-01
nv,7.600930e-03,4.005828e-03,5,2.000000e-01
gl,1.512854e-03,3.670044e-05,5,2.000000e-01
nv,7.717126e-03,3.993377e-03,5,2.000000e-01
gl,1.513462e-03,3.649155e-05,5,2.000000e-01
nv,7.692159e-03,3.951120e-03,5,2.000000e-01
gl,1.508575e-03,3.611160e-05,5,2.000000e-01
nv,7.640787e-03,3.907476e-03,5,2.000000e-01
gl,1.494928e-03,3.572881e-05,5,2.000000e-01
nv,7.556111e-03,3.864651e-03,5,2.000000e-01
gl,1.495850e-03,3.548788e-05,5,2.000000e-01
nv,7.487143e-03,3.822726e-03,5,2.000000e-01
gl,1.483558e-03,3.511874e-05,5,2.000000e-01
nv,7.405761e-03,3.781733e-03,5,2.000000e-01
gl,1.500231e-03,3.530202e-05,5,2.000000e-01
nv,7.407634e-03,3.746592e-03,5,2.000000e-01
gl,1.494904e-03,3.494001e-05,5,2.000000e-01
nv,7.330000e-03,3.707254e-03,5,2.000000e-01
gl,1.493310e-03,3.462178e-05,5,2.000000e-01
nv,7.257053e-03,3.668701e-03,5,2.000000e-01
gl,1.525951e-03,3.540766e-05,5,2.000000e-01
nv,7.208229e-03,3.631230e-03,5,2.000000e-01
gl,1.514206e-03,3.505703e-05,5,2.000000e-01
nv,7.135670e-03,3.594265e-03,5,2.000000e-01
gl,1.516695e-03,3.482464e-05,5,2.000000e-01
nv,7.062857e-03,3.558066e-03,5,2.000000e-01
gl,1.511429e-03,3.448194e-05,5,2.000000e-01
nv,6.992222e-03,3.522580e-03,5,2.000000e-01
gl,1.516385e-03,3.434692e-05,5,2.000000e-01
nv,6.922300e-03,3.487803e-03,5,2.000000e-01
gl,1.529160e-03,3.425145e-05,5,2.000000e-01
nv,6.855347e-03,3.453686e-03,5,2.000000e-01
gl,1.519589e-03,3.392686e-05,5,2.000000e-01
nv,6.797353e-03,3.420209e-03,5,2.000000e-01
gl,1.510459e-03,3.362273e-05,5,2.000000e-01
nv,6.750000e-03,3.387519e-03,5,2.000000e-01
gl,1.501569e-03,3.330991e-05,5,2.000000e-01
nv,6.705000e-03,3.355440e-03,5,2.000000e-01
gl,1.518355e-03,3.316294e-05,5,2.000000e-01
nv,6.641143e-03,3.323877e-03,5,2.000000e-01
gl,1.507376e-03,3.286801e-05,5,2.000000e-01
nv,7.270189e-03,3.611320e-03,5,2.000000e-01
gl,1.498597e-03,3.257888e-05,5,2.000000e-01
nv,7.216449e-03,3.578038e-03,5,2.000000e-01
gl,1.489063e-03,3.229072e-05,5,2.000000e-01
nv,7.151111e-03,3.545337e-03,5,2.000000e-01
gl,1.479170e-03,3.201641e-05,5,2.000000e-01
nv,7.086514e-03,3.513233e-03,5,2.000000e-01
gl,1.477569e-03,3.175594e-05,5,2.000000e-01
nv,7.023909e-03,3.481695e-03,5,2.000000e-01
gl,1.530063e-03,3.533793e-05,5,2.000000e-01
nv,6.960631e-03,3.450741e-03,5,2.000000e-01
gl,1.521280e-03,3.503975e-05,5,2.000000e-01
nv,6.910179e-03,3.420264e-03,5,2.000000e-01
gl,1.515705e-03,3.475959e-05,5,2.000000e-01
nv,6.849027e-03,3.390388e-03,5,2.000000e-01
gl,1.513470e-03,3.447743e-05,5,2.000000e-01
nv,6.795088e-03,3.360990e-03,5,2.000000e-01
gl,1.505343e-03,3.418714e-05,5,2.000000e-01
nv,6.736000e-03,3.332137e-03,5,2.000000e-01
