MU: -4.169320e-01 7.828803e-01 1.603717e+00 -1.630652e+00 -1.912616e+00 
algo,mean,variance,S,tail
gl,2.584752e-02,1.304157e-01,5,1.500000e-01
nv,3.089927e-02,1.784662e-02,5,1.500000e-01
gl,2.541059e-02,1.280933e-01,5,1.500000e-01
nv,3.171482e-02,1.848085e-02,5,1.500000e-01
gl,2.498464e-02,1.258523e-01,5,1.500000e-01
nv,3.117474e-02,1.817255e-02,5,1.500000e-01
gl,2.459292e-02,1.236876e-01,5,1.500000e-01
nv,3.063724e-02,1.787519e-02,5,1.500000e-01
gl,2.422857e-02,1.215955e-01,5,1.500000e-01
nv,3.055712e-02,1.766725e-02,5,1.500000e-01
gl,2.391255e-02,1.195721e-01,5,1.500000e-01
nv,3.004800e-02,1.738763e-02,5,1.500000e-01
gl,2.359836e-02,1.176158e-01,5,1.500000e-01
nv,3.141557e-02,1.867034e-02,5,1.500000e-01
gl,2.329956e-02,1.157227e-01,5,1.500000e-01
nv,3.106823e-02,1.838373e-02,5,1.500000e-01
gl,2.299023e-02,1.138892e-01,5,1.500000e-01
nv,3.064063e-02,1.810519e-02,5,1.500000e-01
gl,2.280956e-02,1.121168e-01,5,1.500000e-01
nv,3.211844e-02,1.914277e-02,5,1.500000e-01
gl,2.249004e-02,1.103959e-01,5,1.500000e-01
nv,3.162446e-02,1.886345e-02,5,1.500000e-01
gl,2.224555e-02,1.087263e-01,5,1.500000e-01
nv,3.142379e-02,1.861977e-02,5,1.500000e-01
gl,2.194781e-02,1.071071e-01,5,1.500000e-01
nv,3.102179e-02,1.835480e-02,5,1.500000e-01
gl,2.167628e-02,1.055353e-01,5,1.500000e-01
nv,3.056559e-02,1.809845e-02,5,1.500000e-01
gl,2.178376e-02,1.040752e-01,5,1.500000e-01
nv,3.071826e-02,1.794543e-02,5,1.500000e-01
gl,2.151922e-02,1.025913e-01,5,1.500000e-01
nv,3.027943e-02,1.770200e-02,5,1.500000e-01
gl,2.127551e-02,1.011488e-01,5,1.500000e-01
nv,2.988127e-02,1.746376e-02,5,1.500000e-01
gl,2.127955e-02,9.977699e-02,5,1.500000e-01
nv,2.946625e-02,1.723312e-02,5,1.500000e-01
gl,2.108084e-02,9.841292e-02,5,1.500000e-01
nv,2.906959e-02,1.700809e-02,5,1.500000e-01
gl,2.110208e-02,9.711672e-02,5,1.500000e-01
nv,2.871770e-02,1.678765e-02,5,1.500000e-01
gl,2.084146e-02,9.582519e-02,5,1.500000e-01
nv,2.872733e-02,1.666759e-02,5,1.500000e-01
gl,2.059850e-02,9.456721e-02,5,1.500000e-01
nv,2.838921e-02,1.645743e-02,5,1.500000e-01
gl,2.105933e-02,9.367551e-02,5,1.500000e-01
nv,2.932299e-02,1.741180e-02,5,1.500000e-01
gl,2.114047e-02,9.249790e-02,5,1.500000e-01
nv,3.020410e-02,1.835860e-02,5,1.500000e-01
gl,2.092544e-02,9.132987e-02,5,1.500000e-01
nv,2.992595e-02,1.813948e-02,5,1.500000e-01
gl,2.069184e-02,9.019118e-02,5,1.500000e-01
nv,2.982075e-02,1.796539e-02,5,1.500000e-01
gl,2.051655e-02,8.908099e-02,5,1.500000e-01
nv,2.945370e-02,1.775411e-02,5,1.500000e-01
gl,2.030534e-02,8.799709e-02,5,1.500000e-01
nv,2.909451e-02,1.754780e-02,5,1.500000e-01
gl,2.019287e-02,8.693912e-02,5,1.500000e-01
nv,2.906241e-02,1.741205e-02,5,1.500000e-01
gl,1.998049e-02,8.590678e-02,5,1.500000e-01
nv,2.871643e-02,1.721446e-02,5,1.500000e-01
gl,1.976683e-02,8.489887e-02,5,1.500000e-01
nv,2.838624e-02,1.702090e-02,5,1.500000e-01
gl,1.955927e-02,8.391426e-02,5,1.500000e-01
nv,2.806244e-02,1.683170e-02,5,1.500000e-01
gl,1.940019e-02,8.295126e-02,5,1.500000e-01
nv,2.777885e-02,1.664577e-02,5,1.500000e-01
gl,1.924145e-02,8.201145e-02,5,1.500000e-01
nv,2.746750e-02,1.646485e-02,5,1.500000e-01
gl,1.911819e-02,8.109156e-02,5,1.500000e-01
nv,2.749685e-02,1.636071e-02,5,1.500000e-01
gl,1.895468e-02,8.019222e-02,5,1.500000e-01
nv,2.742400e-02,1.622309e-02,5,1.500000e-01
gl,1.877776e-02,7.931290e-02,5,1.500000e-01
nv,2.725813e-02,1.606110e-02,5,1.500000e-01
gl,1.862524e-02,7.845230e-02,5,1.500000e-01
nv,2.696326e-02,1.589425e-02,5,1.500000e-01
