MU: 5.242907e-01 -4.717385e-01 -1.095709e+00 8.719267e-01 7.834958e-01 
algo,mean,variance,S,tail
gl,5.022487e-01,5.683851e+00,5,5.000000e-02
nv,4.845618e-01,1.407084e-01,5,5.000000e-02
gl,4.997897e-01,5.587425e+00,5,5.000000e-02
nv,4.840243e-01,1.405439e-01,5,5.000000e-02
gl,4.924316e-01,5.492341e+00,5,5.000000e-02
nv,4.849568e-01,1.410294e-01,5,5.000000e-02
gl,4.861762e-01,5.399866e+00,5,5.000000e-02
nv,4.871978e-01,1.408572e-01,5,5.000000e-02
gl,4.808895e-01,5.310173e+00,5,5.000000e-02
nv,4.858629e-01,1.407684e-01,5,5.000000e-02
gl,4.770294e-01,5.224234e+00,5,5.000000e-02
nv,4.875810e-01,1.400745e-01,5,5.000000e-02
gl,4.759042e-01,5.143555e+00,5,5.000000e-02
nv,4.895856e-01,1.405723e-01,5,5.000000e-02
gl,4.727427e-01,5.063409e+00,5,5.000000e-02
nv,4.901597e-01,1.405482e-01,5,5.000000e-02
gl,4.666457e-01,4.985312e+00,5,5.000000e-02
nv,4.903311e-01,1.411991e-01,5,5.000000e-02
gl,4.627324e-01,4.909135e+00,5,5.000000e-02
nv,4.897014e-01,1.414388e-01,5,5.000000e-02
gl,4.578152e-01,4.835191e+00,5,5.000000e-02
nv,4.878672e-01,1.417524e-01,5,5.000000e-02
gl,4.541475e-01,4.763099e+00,5,5.000000e-02
nv,4.892352e-01,1.421051e-01,5,5.000000e-02
gl,4.519194e-01,4.693784e+00,5,5.000000e-02
nv,4.890721e-01,1.416297e-01,5,5.000000e-02
gl,4.478910e-01,4.625929e+00,5,5.000000e-02
nv,4.924456e-01,1.422112e-01,5,5.000000e-02
gl,4.437871e-01,4.560318e+00,5,5.000000e-02
nv,4.905296e-01,1.422318e-01,5,5.000000e-02
gl,4.419659e-01,4.499064e+00,5,5.000000e-02
nv,4.894130e-01,1.423699e-01,5,5.000000e-02
gl,4.388569e-01,4.437209e+00,5,5.000000e-02
nv,4.909779e-01,1.419207e-01,5,5.000000e-02
gl,4.374602e-01,4.378141e+00,5,5.000000e-02
nv,4.902843e-01,1.419257e-01,5,5.000000e-02
gl,4.364966e-01,4.321554e+00,5,5.000000e-02
nv,4.913341e-01,1.418406e-01,5,5.000000e-02
gl,4.344537e-01,4.264689e+00,5,5.000000e-02
