MU: 1.370581e+00 2.569893e+00 -2.103890e+00 4.645965e-01 1.885569e+00 
algo,mean,variance,S,tail
gl,1.412059e-04,3.045483e-07,5,3.000000e-01
nv,3.120690e-05,1.749312e-07,5,3.000000e-01
gl,1.397812e-04,2.995759e-07,5,3.000000e-01
nv,3.067797e-05,1.719775e-07,5,3.000000e-01
gl,1.388572e-04,2.949707e-07,5,3.000000e-01
nv,3.016667e-05,1.691218e-07,5,3.000000e-01
gl,2.404613e-04,6.602275e-06,5,3.000000e-01
nv,2.967213e-05,1.663595e-07,5,3.000000e-01
gl,2.379064e-04,6.496352e-06,5,3.000000e-01
nv,2.919355e-05,1.636859e-07,5,3.000000e-01
gl,2.411271e-04,6.404673e-06,5,3.000000e-01
nv,2.873016e-05,1.610970e-07,5,3.000000e-01
gl,2.380473e-04,6.305109e-06,5,3.000000e-01
nv,2.828125e-05,1.585886e-07,5,3.000000e-01
gl,2.352413e-04,6.208531e-06,5,3.000000e-01
nv,2.784615e-05,1.561571e-07,5,3.000000e-01
gl,2.391881e-04,6.131562e-06,5,3.000000e-01
nv,2.742424e-05,1.537991e-07,5,3.000000e-01
gl,2.360985e-04,6.040561e-06,5,3.000000e-01
nv,2.701493e-05,1.515113e-07,5,3.000000e-01
gl,2.339642e-04,5.952214e-06,5,3.000000e-01
nv,2.661765e-05,1.492905e-07,5,3.000000e-01
gl,2.308611e-04,5.866501e-06,5,3.000000e-01
nv,2.623188e-05,1.471338e-07,5,3.000000e-01
gl,2.286560e-04,5.783070e-06,5,3.000000e-01
nv,2.585714e-05,1.450386e-07,5,3.000000e-01
gl,2.529127e-04,6.193260e-06,5,3.000000e-01
nv,2.549296e-05,1.430022e-07,5,3.000000e-01
gl,2.622198e-04,6.208426e-06,5,3.000000e-01
nv,2.513889e-05,1.410222e-07,5,3.000000e-01
gl,2.609110e-04,6.124830e-06,5,3.000000e-01
nv,2.479452e-05,1.390963e-07,5,3.000000e-01
gl,2.589803e-04,6.042845e-06,5,3.000000e-01
nv,2.445946e-05,1.372223e-07,5,3.000000e-01
gl,2.561512e-04,5.962788e-06,5,3.000000e-01
nv,2.413333e-05,1.353981e-07,5,3.000000e-01
gl,2.544095e-04,5.884643e-06,5,3.000000e-01
nv,2.381579e-05,1.336218e-07,5,3.000000e-01
gl,2.552069e-04,5.810950e-06,5,3.000000e-01
nv,2.350649e-05,1.318915e-07,5,3.000000e-01
gl,2.524380e-04,5.736960e-06,5,3.000000e-01
nv,2.320513e-05,1.302054e-07,5,3.000000e-01
gl,2.504003e-04,5.664740e-06,5,3.000000e-01
nv,2.291139e-05,1.285619e-07,5,3.000000e-01
gl,2.479853e-04,5.594342e-06,5,3.000000e-01
nv,2.262500e-05,1.269593e-07,5,3.000000e-01
gl,2.508629e-04,5.550034e-06,5,3.000000e-01
nv,2.234568e-05,1.253962e-07,5,3.000000e-01
gl,2.485597e-04,5.482741e-06,5,3.000000e-01
nv,2.207317e-05,1.238712e-07,5,3.000000e-01
gl,2.459906e-04,5.417163e-06,5,3.000000e-01
