MU: -7.106774e-01 7.655664e-01 -7.804318e-01 1.467535e+00 6.483935e+00 
algo,mean,variance,S,tail
gl,5.908387e-11,4.432837e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.852744e-11,4.369816e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.791833e-11,4.308553e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.752662e-11,4.248899e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.703290e-11,4.191011e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.629219e-11,4.134701e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.566078e-11,4.079831e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.506357e-11,4.026361e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.450051e-11,3.974264e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.390454e-11,3.923544e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.335727e-11,3.874072e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.303780e-11,3.825819e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.243583e-11,3.778828e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.187410e-11,3.732950e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.765496e-11,4.003731e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.703095e-11,3.956339e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.678504e-11,3.910190e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.638914e-11,3.864865e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.733295e-11,3.827906e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.688684e-11,3.784748e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,6.002374e-11,3.855500e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,6.195898e-11,3.866563e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,6.134833e-11,3.824379e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,6.092406e-11,3.783027e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,6.042263e-11,3.742683e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.988455e-11,3.703134e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.996163e-11,3.666334e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.953105e-11,3.628381e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.908098e-11,3.591174e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.902057e-11,3.555626e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.871581e-11,3.519883e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.825421e-11,3.484911e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.781644e-11,3.450592e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.730510e-11,3.417002e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.680114e-11,3.384060e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.629542e-11,3.351757e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.582245e-11,3.320057e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.543459e-11,3.288943e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.514529e-11,3.258371e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.518733e-11,3.229326e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.474982e-11,3.199894e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.458229e-11,3.171295e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.531871e-11,3.156230e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.527207e-11,3.129615e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.485596e-11,3.102135e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.449277e-11,3.075107e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.408727e-11,3.048539e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.371600e-11,3.022436e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.391491e-11,3.000984e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.348846e-11,2.975751e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.314626e-11,2.950889e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.271415e-11,2.926500e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.232992e-11,2.902476e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.248572e-11,2.882119e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.234143e-11,2.859433e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.198302e-11,2.836531e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.164204e-11,2.813993e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.153218e-11,2.792089e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.164645e-11,2.771178e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.164826e-11,2.750053e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.138730e-11,2.728876e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.106330e-11,2.708031e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.078987e-11,2.687459e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.072766e-11,2.667846e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.051187e-11,2.648070e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.017915e-11,2.628448e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.984648e-11,2.609115e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.955839e-11,2.590041e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.927872e-11,2.571251e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.912467e-11,2.552785e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.885134e-11,2.534530e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.861018e-11,2.516525e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.832154e-11,2.498794e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.808764e-11,2.481320e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.785740e-11,2.464063e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.762666e-11,2.447050e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.740874e-11,2.430372e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.852734e-11,2.435255e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.830511e-11,2.418786e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.799839e-11,2.402571e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.784341e-11,2.386556e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.769605e-11,2.370773e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.749790e-11,2.355162e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.743105e-11,2.340257e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.724795e-11,2.325043e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.773646e-11,2.318280e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.952767e-11,2.358906e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.923832e-11,2.343908e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.909349e-11,2.329200e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.885139e-11,2.314599e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.860875e-11,2.300140e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.844007e-11,2.285879e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.824169e-11,2.271769e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.807683e-11,2.257993e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.780654e-11,2.244253e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.773664e-11,2.230970e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.756672e-11,2.217554e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.737822e-11,2.204268e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.869881e-11,2.223185e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.849472e-11,2.210029e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.832669e-11,2.197033e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.821745e-11,2.184391e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.797479e-11,2.171712e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.778430e-11,2.159201e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.768150e-11,2.146894e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.759241e-11,2.134902e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.736861e-11,2.122789e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.714983e-11,2.110819e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.693638e-11,2.098985e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.686386e-11,2.087468e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.682714e-11,2.076152e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.680482e-11,2.065287e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.656308e-11,2.053977e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.636422e-11,2.042781e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.619255e-11,2.031712e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.599835e-11,2.020743e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.579284e-11,2.009900e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.559776e-11,1.999163e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.549223e-11,1.988569e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.527111e-11,1.978079e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.513443e-11,1.967783e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.495722e-11,1.957508e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.563579e-11,1.961767e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.547510e-11,1.951629e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.552214e-11,1.942046e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.558532e-11,1.933316e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.559196e-11,1.923619e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.554426e-11,1.914105e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.534809e-11,1.904467e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.516003e-11,1.894923e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.520547e-11,1.886300e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.505114e-11,1.876925e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.493301e-11,1.867639e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.480838e-11,1.858474e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.460696e-11,1.849401e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.440829e-11,1.840412e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.422306e-11,1.831512e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.494569e-11,1.837214e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.503842e-11,1.829358e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.514303e-11,1.821101e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.493419e-11,1.812475e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.490684e-11,1.803971e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.480769e-11,1.795529e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.460985e-11,1.787140e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.461993e-11,1.779598e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.446546e-11,1.771349e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.426678e-11,1.763191e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.410208e-11,1.755096e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.390973e-11,1.747085e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.377931e-11,1.739134e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.366641e-11,1.731313e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.364438e-11,1.723689e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.344937e-11,1.715970e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.334308e-11,1.708321e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.317044e-11,1.700727e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.317443e-11,1.693837e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.306591e-11,1.686374e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.296806e-11,1.679019e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.295500e-11,1.672104e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.298170e-11,1.665066e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.288359e-11,1.657893e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.271258e-11,1.650749e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.273063e-11,1.643735e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.256123e-11,1.636714e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.248088e-11,1.629885e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.247436e-11,1.623293e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.288012e-11,1.622975e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.273427e-11,1.616156e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.262342e-11,1.609432e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.250019e-11,1.602734e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.234772e-11,1.596084e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.224236e-11,1.589508e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.208822e-11,1.582969e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.194547e-11,1.576485e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.199104e-11,1.570547e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.189519e-11,1.564168e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.183574e-11,1.557944e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.175811e-11,1.551677e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.160371e-11,1.545452e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.155278e-11,1.539298e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.209849e-11,1.539813e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.199624e-11,1.533706e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.214250e-11,1.529117e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.254710e-11,1.530061e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.242581e-11,1.524072e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.228157e-11,1.518124e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.217452e-11,1.512224e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.210712e-11,1.506426e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.203336e-11,1.500607e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.194731e-11,1.494847e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.182788e-11,1.489131e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.194179e-11,1.484152e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.198201e-11,1.479201e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.187431e-11,1.473623e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.176064e-11,1.468065e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.176183e-11,1.462942e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.165299e-11,1.457466e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.153282e-11,1.452028e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.163576e-11,1.447782e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.170189e-11,1.442856e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.159771e-11,1.437532e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.157801e-11,1.432285e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.186381e-11,1.430713e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.174796e-11,1.425509e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.163055e-11,1.420325e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.181002e-11,1.417176e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.167334e-11,1.412074e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.154148e-11,1.407006e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.145445e-11,1.402000e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.137593e-11,1.396986e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.137300e-11,1.392174e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.123035e-11,1.387257e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.112688e-11,1.382361e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.101307e-11,1.377502e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.123159e-11,1.374876e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.111544e-11,1.370077e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.325619e-11,1.497196e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.316197e-11,1.492008e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.305408e-11,1.486856e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.293964e-11,1.481733e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.279668e-11,1.476664e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.265565e-11,1.471628e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.255461e-11,1.466622e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.244307e-11,1.461644e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.241986e-11,1.456722e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.230912e-11,1.451805e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.254980e-11,1.449965e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.246162e-11,1.445105e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.234118e-11,1.440283e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.228254e-11,1.435545e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.216047e-11,1.430789e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.272097e-11,1.433782e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.259346e-11,1.429068e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.249364e-11,1.424376e-19,5,8.000000e-01
